"ConditionA1.bam" "ConditionA2.bam" "ConditionA3.bam" "ConditionD1.bam" "ConditionD2.bam" "ConditionD3.bam" "ConditionE1.bam" "ConditionE2.bam" "ConditionE3.bam" "ConditionF1.bam" "ConditionF2.bam" "ConditionF3.bam" "ConditionF4.bam" "ConditionG1.bam" "ConditionG2.bam" "ConditionG3.bam" "ConditionG4.bam"
"Cluster-2491.692" 2202 2312 1504 890 1027 645 4 7 23 362 417 21 47 2 120 16 23
"Cluster-2491.906" 5 7 4 21 23 20 1 3 2 1 2 9 11 0 12 5 5
"Cluster-2491.15065" 737 611 362 360 301 260 90 600 355 89 131 57 118 370 152 1389 619
"Cluster-2491.22020" 14 8 7 12 8 4 4 3 2 6 2 43 45 2 0 15 17
"Cluster-2491.4388" 848 674 371 588 676 428 275 739 824 641 863 837 976 487 584 1784 987
"Cluster-2491.13316" 76 74 30 55 32 26 12 62 17 3 7 23 63 19 8 53 92
"Cluster-2491.21483" 23 10 6 2 6 1 1 11 4 8 3 13 4 3 1 19 22
"Cluster-2491.11022" 116 129 29 187 225 155 79 128 155 223 323 308 291 112 129 365 221
"Cluster-2491.3324" 693 569 246 958 1018 654 97 259 137 69 120 411 774 137 70 861 661
"Cluster-2491.8164" 34 27 13 17 15 11 2 7 6 0 0 15 40 11 2 10 20
"Cluster-2491.6146" 8422 7403 4403 4560 4581 3574 2387 18284 3759 266 279 1065 3203 9588 150 37584 16778
"Cluster-2064.0" 0 2 3 3 2 2 2 5 2 40 38 47 30 0 17 13 28
"Cluster-2491.16051" 141 142 55 74 91 37 21 37 23 20 39 50 57 38 31 105 112
"Cluster-2491.16778" 103 58 30 49 31 29 8 24 7 17 31 53 65 24 9 42 51
"Cluster-2491.9065" 1223 1389 738 593 652 460 203 716 552 332 492 548 751 444 378 1845 903
"Cluster-2491.14219" 2204 1501 866 511 564 294 97 237 79 75 111 254 579 122 53 720 660
"Cluster-2491.16885" 1 3 0 5 3 2 22 40 20 5 7 5 8 17 18 119 37
"Cluster-2491.13493" 359 269 210 385 382 294 381 1036 904 586 952 1109 1232 624 614 2488 1212
"Cluster-2491.16797" 240 114 95 16 34 18 34 63 11 620 1018 1091 996 11 395 729 351
"Cluster-2491.15611" 85 89 28 106 80 54 18 35 47 33 33 69 116 41 22 98 76
"Cluster-2491.23580" 7 3 2 2 2 1 2 15 6 8 5 5 18 3 6 18 21
"Cluster-2491.1843" 56 31 28 12 9 11 21 18 34 37 37 235 163 3 6 117 50
"Cluster-2491.17636" 97 65 50 100 114 109 28 154 120 42 42 33 71 39 44 111 118
"Cluster-2491.10232" 384 286 301 231 290 169 92 342 253 199 288 418 471 180 247 1382 472
"Cluster-2491.15644" 53 57 21 52 24 37 26 65 25 19 50 39 70 36 14 109 67
"Cluster-2491.14283" 287 304 149 227 289 210 82 176 234 173 220 344 384 89 150 504 315
"Cluster-2491.4875" 411 356 185 321 368 241 114 375 295 83 114 326 469 219 96 779 535
"Cluster-2491.6308" 9 76 13 885 1129 708 1174 2533 3589 1213 1766 1614 1654 1987 1954 7047 2973
"Cluster-2491.17338" 97 72 65 18 9 10 4 27 31 36 42 19 42 7 19 55 24
"Cluster-2491.18742" 433 422 291 141 158 92 57 115 91 101 164 244 308 75 86 331 256
"Cluster-3879.0" 8 5 6 3 57 5 2 19 17 1 6 5 1 8 7 10 35
"Cluster-2491.9843" 818 725 498 260 270 209 81 540 145 61 111 272 543 314 69 1254 671
"Cluster-2491.12863" 123 81 48 129 124 63 21 69 50 39 66 151 256 43 25 133 179
"Cluster-2491.12274" 93 71 91 10 9 6 3 8 2 4 8 5 6 2 10 34 11
"Cluster-2491.17587" 105 114 37 197 177 99 39 43 47 126 188 283 331 46 53 148 136
"Cluster-2491.5377" 53 52 19 12 19 14 371 310 190 11 11 36 69 296 19 1311 495
"Cluster-2491.18894" 35 43 8 31 46 21 3 7 3 3 16 12 28 1 6 12 17
"Cluster-2491.12514" 245 129 117 209 179 176 74 158 115 62 130 229 348 89 71 589 274
"Cluster-2491.14040" 217 416 176 191 284 189 61 101 160 48 123 30 75 48 85 315 193
"Cluster-2491.5750" 1277 1060 756 312 279 233 148 300 148 176 195 339 623 197 146 940 531
"Cluster-2491.5152" 154 170 94 289 224 181 112 172 89 521 863 867 857 102 291 346 341
"Cluster-2491.17943" 335 263 227 74 71 32 47 125 14 147 173 539 504 58 59 154 248
"Cluster-2491.13163" 711 663 321 1237 1290 891 535 2499 1125 222 284 674 1061 1366 311 3534 2362
"Cluster-2491.3977" 802 607 394 344 429 295 166 553 436 341 482 432 595 399 315 1835 873
"Cluster-2491.7206" 421 390 266 201 250 202 148 820 493 980 1805 2061 1700 453 668 1078 817
"Cluster-2491.3911" 92 68 22 55 48 38 5 22 14 4 14 23 61 13 9 22 62
"Cluster-2491.9904" 256 236 81 159 136 91 36 100 18 72 97 320 469 66 45 153 246
"Cluster-2491.10079" 31 24 14 131 149 84 32 129 71 12 31 8 23 95 27 333 165
"Cluster-2491.16448" 424 364 148 585 699 477 130 280 272 221 276 399 730 245 190 799 645
"Cluster-2491.21122" 4 15 38 303 11 14 88 12 51 63 1 5 7 0 1 30 85
"Cluster-2491.10168" 766 797 572 1298 1320 874 487 705 709 170 228 967 1561 590 205 2087 1308
"Cluster-2491.6278" 449 410 240 460 345 278 127 385 213 186 236 465 669 173 148 506 536
"Cluster-3943.0" 27 14 15 3 8 3 1 1 5 8 5 3 5 4 3 10 2
"Cluster-966.0" 15 13 4 4 4 1 1 4 1 0 1 2 2 1 0 8 6
"Cluster-5078.0" 28 38 26 14 19 15 10 40 11 15 23 14 19 13 6 52 21
"Cluster-2491.17054" 84 67 25 25 21 15 2 20 0 6 9 9 20 15 7 22 41
"Cluster-2491.20619" 64 73 42 35 42 27 3 8 17 5 4 4 16 7 1 27 29
"Cluster-2491.3486" 48448 37613 17288 21 15 5 10 9 6 11230 25586 2431 6071 5 3952 13 6
"Cluster-2491.13220" 80 80 52 127 111 69 47 58 37 32 83 52 69 51 39 93 97
"Cluster-2491.11066" 98 131 65 100 172 94 49 108 78 56 105 122 185 72 47 170 96
"Cluster-2491.16429" 45 59 16 55 62 41 25 35 34 56 70 120 125 19 40 81 80
"Cluster-2491.17009" 58 37 23 158 153 114 18 34 25 8 25 68 117 17 12 49 82
"Cluster-2491.24940" 1 1 0 0 1 1 5 0 1 3 4 0 10 0 0 1 5
"Cluster-2491.14667" 77 51 31 50 52 39 47 137 110 67 111 97 78 65 86 309 131
"Cluster-2491.20797" 14 33 8 24 18 14 1 15 0 2 0 2 12 8 0 15 17
"Cluster-2491.9528" 0 0 1 1 2 1 2513 2732 3105 0 0 0 2 2596 1397 7625 3301
"Cluster-2491.19927" 172 127 53 129 126 96 42 110 62 175 223 419 455 64 71 252 254
"Cluster-2491.23212" 104 59 103 4 3 9 20 72 2 168 383 882 1123 3 186 744 393
"Cluster-2491.13682" 1 2 1 3 4 4 86 25 78 1 2 0 5 50 13 129 63
"Cluster-2491.3906" 1037 847 619 209 160 138 133 664 283 166 314 477 757 305 216 902 603
"Cluster-2491.5182" 466 414 162 230 240 171 105 167 123 257 506 841 1006 80 210 744 409
"Cluster-2491.4013" 16 9 16 0 0 1 27 7 5 71 139 200 526 11 24 157 43
"Cluster-2491.4193" 138 109 126 16 15 7 20 26 31 40 50 124 193 21 34 130 76
"Cluster-2491.1196" 22 15 7 15 18 10 2 12 5 3 4 8 10 3 4 23 12
"Cluster-2491.4085" 327 265 150 253 280 154 93 165 114 93 151 365 479 125 84 435 288
"Cluster-2491.3751" 261 190 139 140 187 108 53 124 145 301 500 461 614 74 236 767 286
"Cluster-2491.2054" 442 349 487 2 2 0 69 51 56 163 233 322 420 37 136 163 135
"Cluster-2491.17549" 30 43 29 24 18 15 9 14 15 7 27 23 36 15 11 34 15
"Cluster-2491.23591" 20 12 9 6 10 2 2 6 4 24 53 65 92 2 9 34 34
"Cluster-2491.17690" 4 2 1 17 7 11 7 3 1 2 6 2 2 4 2 10 2
"Cluster-2491.15176" 48 79 25 87 84 57 39 39 46 55 93 114 118 34 45 75 100
"Cluster-2491.6739" 3 4 164 1231 1125 719 474 2280 1833 1063 1536 433 1118 2088 1646 7826 2696
"Cluster-2491.10089" 159 113 69 63 67 58 42 95 114 77 83 56 70 61 75 295 181
"Cluster-2491.24947" 24 24 11 0 0 0 0 0 0 0 1 4 8 0 0 0 2
"Cluster-419.0" 109 120 95 4 3 0 1 12 0 11 23 43 58 0 15 0 45
"Cluster-2491.12987" 151 156 112 28 28 22 24 38 12 9 10 29 27 20 2 92 53
"Cluster-2491.16758" 0 1 1 1 0 3 15 4 4 8 16 3 1 103 26 4 12
"Cluster-2491.24086" 10 0 1 1 3 0 3 3 0 0 0 0 2 1 0 6 9
"Cluster-2491.18185" 409 333 160 107 90 82 44 211 63 50 92 192 270 76 38 233 264
"Cluster-2491.10366" 123 118 77 376 290 237 127 251 220 251 361 474 574 159 156 511 439
"Cluster-2491.11941" 255 272 134 37 49 45 101 294 190 124 171 25 60 127 202 464 166
"Cluster-2491.5969" 2945 2497 2071 5475 5445 4527 5397 12279 13720 2996 4037 4035 5160 5069 4983 21276 20166
"Cluster-2491.4505" 287 250 132 227 299 208 65 127 122 263 311 545 611 56 132 437 294
"Cluster-2491.15754" 0 11 3 9 5 6 132 190 125 37 91 26 44 134 52 901 187
"Cluster-2491.11675" 321 260 334 208 219 143 49 165 118 302 433 417 597 79 234 409 384
"Cluster-2491.18956" 50 45 22 12 12 5 0 2 9 2 3 5 16 9 3 5 8
"Cluster-2491.13955" 192 109 81 45 31 25 42 43 17 137 240 454 548 21 91 448 306
"Cluster-2491.16199" 133 112 65 124 79 59 28 51 29 63 69 93 209 36 34 95 99
"Cluster-2491.10595" 72 112 47 100 111 80 43 96 59 27 41 39 63 48 18 146 185
"Cluster-2491.14272" 59 109 45 142 169 101 72 72 83 79 152 208 242 80 66 221 123
"Cluster-2491.10677" 1873 1645 886 5011 3457 3695 606 3378 253 75 91 557 2191 1097 69 4075 5053
"Cluster-2491.9618" 26 11 7 54 40 39 17 68 53 22 37 18 26 16 17 16 38
"Cluster-2491.17433" 30 23 14 37 50 39 4 27 13 8 9 24 31 10 2 55 44
"Cluster-2491.6275" 1142 835 662 685 609 519 393 1282 726 608 725 726 980 559 639 2927 1339
"Cluster-2491.5131" 1734 1506 1155 2702 3883 2440 873 1735 2630 1451 1911 1758 2278 1082 1563 4607 2739
"Cluster-652.0" 3 5 2 7 1 2 4 0 1 1 1 7 7 0 0 7 5
"Cluster-2491.16576" 155 175 83 234 203 179 42 117 55 45 61 197 258 64 32 171 226
"Cluster-2491.13939" 1499 1232 836 523 707 426 99 379 282 167 272 709 1132 207 190 1596 1156
"Cluster-2491.9885" 246 215 105 127 92 66 41 139 121 159 214 289 315 49 126 189 190
"Cluster-2491.17848" 14 7 7 14 7 13 1 0 1 0 5 1 1 4 0 8 0
"Cluster-2491.14577" 16 19 2 36 25 25 19 11 4 12 14 24 44 19 3 38 22
"Cluster-2491.9877" 450 456 245 432 357 361 85 359 171 169 288 403 508 199 124 358 565
"Cluster-2491.18326" 132 71 44 52 61 44 39 149 71 61 89 111 107 69 46 507 297
"Cluster-2491.13841" 49 88 43 723 650 474 176 252 313 65 56 98 132 187 67 253 492
"Cluster-2491.10473" 48 29 31 21 16 12 3 9 16 3 5 5 10 5 3 36 23
"Cluster-2491.5531" 44 39 26 54 29 47 15 22 45 20 28 20 26 12 14 51 51
"Cluster-2491.10062" 62 48 26 37 26 19 10 93 37 32 33 1 29 37 25 73 45
"Cluster-2491.10124" 890 616 372 266 368 197 117 282 150 326 380 850 1133 204 241 1457 635
"Cluster-2491.6424" 349 483 165 298 313 243 119 279 259 163 240 294 462 158 143 564 417
"Cluster-2491.4970" 434 421 247 235 268 179 109 295 261 166 193 218 306 167 137 764 435
"Cluster-2491.15958" 18 28 6 53 61 46 11 22 35 10 20 11 29 21 5 41 61
"Cluster-2491.24423" 50 40 43 3 1 1 2 4 0 17 28 49 84 1 13 76 32
"Cluster-2491.4447" 2619 1983 1298 968 1175 827 456 1032 921 1061 1364 1396 1929 669 833 5255 2708
"Cluster-2491.17989" 249 222 165 182 165 115 108 170 252 385 518 777 645 97 262 682 579
"Cluster-2491.12677" 0 0 0 1 0 0 50 145 48 0 0 0 2 69 75 412 126
"Cluster-2491.14536" 125 73 45 99 121 80 26 41 50 133 177 171 193 24 68 258 148
"Cluster-2491.6290" 13683 11118 7527 12859 14908 11313 5068 8427 10567 7350 9962 8548 13741 5359 6700 14414 17775
"Cluster-2491.18173" 1169 1122 623 659 769 460 32 387 211 59 102 113 189 111 48 961 584
"Cluster-2491.24619" 5 6 2 0 0 2 0 2 0 4 2 2 21 2 0 1 3
"Cluster-2491.20540" 1350 803 792 1699 2353 1214 16 58 124 40 27 96 395 30 18 126 155
"Cluster-2491.8067" 1184 946 732 1473 1600 1151 558 1815 1087 942 1310 2527 2685 1060 832 4830 2574
"Cluster-2491.17615" 19 9 10 41 62 51 16 73 49 25 64 71 70 41 25 57 129
"Cluster-2491.9194" 827 875 386 123 138 77 25 108 24 55 55 59 205 62 12 153 127
"Cluster-2491.4640" 454 346 701 741 860 703 748 2047 1723 1986 1852 601 864 661 1923 5895 3549
"Cluster-2491.6887" 1710 1218 725 624 633 472 98 527 273 511 855 1003 1541 179 406 1594 1117
"Cluster-2491.14391" 30 47 12 100 81 86 20 93 22 9 18 24 40 52 3 57 95
"Cluster-2491.13549" 441 367 201 215 219 133 91 118 33 681 1420 1908 1896 51 514 1128 652
"Cluster-2491.9151" 145 91 51 77 101 67 59 219 176 322 241 169 174 148 250 528 245
"Cluster-2491.15041" 37 30 9 101 95 74 3 17 36 11 6 19 20 14 13 64 62
"Cluster-2491.12776" 173 182 77 184 177 144 58 204 94 33 49 97 201 148 47 199 215
"Cluster-2491.11713" 8 28 20 3 0 0 0 2 0 0 1 39 1 28 3 0 1
"Cluster-2491.559" 159 154 43 62 23 27 0 7 3 7 13 5 2 3 5 3 3
"Cluster-2491.4598" 444 367 252 1026 1076 800 188 1661 1023 326 515 239 413 632 359 1199 1120
"Cluster-2491.10198" 1315 1123 711 660 938 575 229 1010 636 195 296 659 972 668 185 1930 1320
"Cluster-2491.2489" 180 200 73 8 14 9 5 11 3 3 17 9 15 7 11 16 20
"Cluster-2491.1167" 375 256 433 3 2 0 10 39 3 161 133 205 290 3 45 45 62
"Cluster-2491.19818" 1281 854 603 452 539 449 109 352 142 87 123 835 1256 218 77 1498 865
"Cluster-2491.13274" 656 469 396 343 425 267 204 339 382 251 297 253 313 235 252 1602 770
"Cluster-2491.17561" 103 129 97 63 70 63 11 28 29 38 81 85 163 24 34 120 100
"Cluster-2491.632" 14 12 5 19 17 4 10 3 6 6 30 25 36 1 6 8 28
"Cluster-2491.12513" 336 222 198 168 185 124 86 140 164 123 162 208 232 116 90 443 275
"Cluster-2491.10816" 488 405 339 172 195 121 51 211 142 80 152 150 279 111 109 572 330
"Cluster-2491.11042" 2630 2245 1997 558 699 453 173 1049 653 316 370 378 499 465 406 2346 1051
"Cluster-2491.12790" 477 274 323 1 1 1 43 48 2 381 773 925 1791 1 249 915 416
"Cluster-2491.3725" 7 7 2 75 123 72 157 35 162 17 24 90 93 26 36 237 296
"Cluster-2491.20603" 74 54 28 77 77 58 23 168 79 32 90 120 64 91 52 239 141
"Cluster-2491.11467" 101 86 52 66 91 60 154 632 334 10 17 43 47 369 72 1048 484
"Cluster-413.0" 6 1 4 0 0 0 2 6 0 3 5 18 25 0 0 1 5
"Cluster-2491.3042" 21 22 7 27 10 10 3 3 12 15 17 39 44 3 6 21 11
"Cluster-2491.14451" 197 158 127 348 344 237 23 58 63 76 121 78 167 25 66 65 102
"Cluster-2491.11262" 1013 857 658 344 450 270 95 319 100 102 94 350 600 221 87 459 546
"Cluster-1843.0" 79 96 51 11 11 11 1 1 1 19 15 27 65 0 3 14 4
"Cluster-2491.12327" 541 472 306 471 429 335 348 731 717 248 311 360 626 439 307 1488 957
"Cluster-2491.5395" 577 844 392 660 605 454 1055 2132 1870 649 777 522 710 1200 1189 5674 2992
"Cluster-2491.13924" 154 136 69 117 147 101 80 118 126 152 262 228 217 73 97 181 194
"Cluster-2491.21240" 0 0 0 0 0 0 148 0 15 0 0 130 0 0 7 0 66
"Cluster-2491.4025" 155 160 84 183 182 164 74 130 106 69 106 165 257 78 71 197 190
"Cluster-2491.21474" 365 142 303 2 3 3 66 73 5 416 972 2131 2284 3 409 1796 950
"Cluster-2491.10231" 324 237 200 413 428 303 125 407 372 315 459 70 111 197 334 664 354
"Cluster-2491.22494" 0 0 0 0 0 0 119 38 0 0 0 0 13 0 0 0 0
"Cluster-2491.9103" 241 179 123 104 170 92 10 50 28 34 44 51 137 34 20 102 84
"Cluster-2491.12016" 105 79 73 131 124 82 41 121 86 177 452 813 949 37 103 467 280
"Cluster-2491.6846" 766 635 347 267 196 156 157 1202 456 112 168 349 756 688 171 2065 1209
"Cluster-2491.12914" 137 150 62 222 216 117 31 81 97 87 155 130 196 69 81 196 132
"Cluster-2491.970" 37 18 42 1 1 2 6 12 1 78 135 251 216 0 54 172 89
"Cluster-2491.17096" 5429 2604 1448 165 174 151 22 53 40 3599 4990 1658 4377 25 1555 38 80
