	Unique_name	Condition	Stage	Replicate	Host	Sex	Dual-seq	Time_sequence	Lib_name
ConditionA1	ConditionA1	ConditionA	Transmission	1	Free	ND	no	1	LIB55
ConditionA2	ConditionA2	ConditionA	Transmission	2	Free	ND	no	1	LIB56
ConditionA3	ConditionA3	ConditionA	Transmission	3	Free	ND	no	1	LIB57
ConditionD1	ConditionD1	ConditionD	Infecting	1	Stickleback	ND	no	4	LIB40
ConditionD2	ConditionD2	ConditionD	Infecting	2	Stickleback	ND	no	4	LIB41
ConditionD3	ConditionD3	ConditionD	Infecting	3	Stickleback	ND	no	4	LIB42
ConditionE1	ConditionE1	ConditionE	Growing	4	Perch	ND	no	4	LIB49
ConditionE2	ConditionE2	ConditionE	Growing	5	Perch	ND	no	4	LIB66
ConditionE3	ConditionE3	ConditionE	Growing	6	Perch	ND	no	4	LIB67
ConditionF1	ConditionF1	ConditionF	Reproducing	1	Perch	Females	no	5	LIB16
ConditionF2	ConditionF2	ConditionF	Reproducing	2	Perch	Females	no	5	LIB17
ConditionF3	ConditionF3	ConditionF	Reproducing	3	Perch	Females	no	5	LIB50
ConditionF4	ConditionF4	ConditionF	Reproducing	4	Perch	Females	no	5	LIB51
ConditionG1	ConditionG1	ConditionG	Reproducing	1	Perch	Males	no	5	LIB18
ConditionG2	ConditionG2	ConditionG	Reproducing	2	Perch	Males	no	5	LIB19
ConditionG3	ConditionG3	ConditionG	Reproducing	3	Perch	Males	no	5	LIB68
ConditionG4	ConditionG4	ConditionG	Reproducing	4	Perch	Males	no	5	LIB69
